last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,fastball_range_speed,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break,breaking_range_speed,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break,offspeed_range_speed,
Garrett, Braxton,666129,2023,25,18,92.1,378,357,90,53,24,1,12,101,15,26.7,4,.252,.426,.291,0.717,.265,.444,.309,.324,.304,.178,.400,.422,.350,.370,-0.013,-0.018,-0.015,91.2,7.8,34.2,25,9.7,6.2,28.4,16,37.4,1.9,46.3,80.51805,7.269653633,63.1,15.1,33.6,53.4,45.7,124,232,49.2,690,68.6,7.5,128,748,526,1402,84.4,68,450,50.8,713,41.4,581,28.2,48.6,48.6,35.4,16,257,67.2,47.5,122,20.2,52,29.2,75,3.1,8,L,1402,5.2,89.6,2267,8,-20.8,15.7,1.2,27.8,82.5,2212,-10.6,-43.5,11.3,1.1,9.1,84,1501,14.3,-36.6,14.7,1.5,9.7,77.5,2161,-10.6,-53.5,13.4,1.3,28.2,90,2070,15.6,-26.7,17.3,1,19.9,87.5,2376,-1.8,-31,5.5,1.1,,,,,,,,,,,,,,,53.4,89,2204,8.3,-27.7,12.7,1.7,37.5,81.2,2199,-10.6,-46.1,11.8,2.7,9.1,84,1501,14.3,-36.6,14.7,1.5,
Lorenzen, Michael,547179,2023,31,15,87.0,349,321,79,55,12,1,11,66,20,18.9,5.7,.246,.393,.293,0.686,.262,.449,.298,.328,.308,.187,.340,.380,.307,.328,-0.016,-0.056,-0.030,90.4,12.5,33.8,22,8.5,3.8,25.4,27.3,31.2,3.8,40.4,80.548665469,6.444799453,68.1,15.8,29.1,37,62.5,68,184,48,632,72.7,9.2,274,629,320,1319,84.2,74,467,52,686,41.4,546,21.8,49.4,38.5,35.8,25.8,260,69.3,43.1,112,29.6,77,24.2,63,3.1,8,R,1318,33.7,94.5,2484,-12,-14.6,20.2,1.2,23.4,85.1,2592,2.6,-38.5,3.4,1.3,20.8,85.1,2129,-15.9,-28.2,18.7,1.4,0.9,81.7,2661,5.8,-54.6,14.8,1.4,12.6,93.8,2347,-15.7,-19.6,19.5,1.1,1.4,90.8,2668,-0.4,-25.1,8.2,1.5,,,,,,,,,,,,,,,47.7,94.2,2453,-12.6,-16.2,19.6,1.4,31.5,84.6,2598,4.6,-39.2,5.5,1.6,20.8,85.1,2129,-15.9,-28.2,18.7,1.4,
Flaherty, Jack,656427,2023,27,17,92.2,409,348,97,68,23,0,6,89,48,21.8,11.7,.279,.397,.375,0.772,.263,.391,.344,.341,.364,.128,.384,.380,.369,.352,.016,.006,.003,87.4,10.1,36.1,17,6.5,6.5,28.5,19.4,32.7,6.5,36.5,75.833583939,5.600882471,64.5,18.7,24,42.9,56.2,93,217,54.2,904,74,7.4,50,891,725,1667,80.9,92,492,45.8,763,41.9,698,26.1,42.5,41.4,33.1,25.5,263,57.5,46.8,123,22.8,60,25.5,67,4.9,13,R,1666,40.2,93,2288,-1.9,-18.4,13.4,1.7,25.3,84,2460,7.6,-37.9,8,2,3,84.9,1622,-11.7,-31.7,13.4,1.7,18.2,75.5,2477,14.8,-57.3,17.4,2.3,2.4,89.9,2017,-10.4,-25.6,13.5,1.8,10.9,88.6,2283,5.1,-28.8,8.1,1.7,,,,,,,,,,,,,,,53.5,92,2275,-0.8,-20.8,12.4,2.7,43.5,80.4,2467,10.6,-46,11.9,5.1,3,84.9,1622,-11.7,-31.7,13.4,1.7,
Gray, Jon,592351,2023,31,16,93.0,374,331,76,55,9,1,11,75,30,20.1,8,.230,.363,.302,0.665,.257,.400,.294,.321,.328,.142,.322,.361,.292,.329,-0.027,-0.037,-0.027,88.4,14.3,35.7,16,6.1,3.8,27.4,27.8,29.3,4.6,35.4,77.883405736,5.525847471,68.2,15.6,34,44.7,54,106,237,50.4,698,77.3,7.9,184,600,447,1383,84,73,468,49.6,686,41.3,572,25.4,51,32.3,38.4,29.3,263,69,40.7,107,25.9,68,26.6,70,6.8,18,R,1383,43.4,95.5,2008,-10,-16.9,16.7,1.1,25.9,87.4,2437,3.9,-33.3,5.2,1.2,13.3,88.6,1432,-14.8,-28.5,16.4,1.1,6.4,78.4,2525,12.5,-53.8,15.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,95.5,2008,-10,-16.9,16.7,1.1,43.3,85,2466,7.1,-36.8,8.7,3.8,13.3,88.6,1432,-14.8,-28.5,16.4,1.1,
Steele, Justin,657006,2023,27,16,91.1,368,339,78,55,17,2,4,81,19,22,5.2,.230,.327,.279,0.606,.233,.346,.269,.280,.284,.113,.312,.328,.300,.307,-0.003,-0.019,-0.011,85.6,11.1,33.1,15,5.7,3.8,23.6,23.2,36.1,7.6,30.8,73.734787769,4.770739423,70.7,14.5,32.2,44.2,55.8,92,208,47.8,645,83.5,7.2,12,886,450,1348,85.3,72,497,52.2,703,44.5,600,23.3,52.3,36.1,36.9,27,263,64.7,49.4,130,21.7,57,21.7,57,7.2,19,L,1348,63.2,92,2398,-1.5,-22,10.5,1.4,32.8,83.1,2663,-15.2,-40.4,15.4,1.5,0.9,87.7,1851,10.6,-26.9,13.9,1.4,0.6,80.9,2688,-12.3,-52.5,16.5,1.4,2.5,92.3,2380,7.1,-20.4,14.1,1.5,,,,,,,,,,,,,,,,,,,,,,65.7,92,2397,-1.2,-21.9,10.7,1.4,33.4,83.1,2664,-15.1,-40.6,15.4,1.5,0.9,87.7,1851,10.6,-26.9,13.9,1.4,
Morton, Charlie,450203,2023,39,17,97.0,425,372,95,64,19,2,10,111,42,26.1,9.9,.255,.398,.336,0.734,.251,.416,.323,.329,.333,.165,.393,.404,.360,.355,.004,-0.018,-0.006,88.6,8.4,35.3,23,8.6,4.5,26.3,20.7,34.6,4.5,38,76.871899618,6.426918851,60.8,17.9,29.2,56.2,43.8,149,265,54.6,907,71.4,6.7,162,753,747,1662,81.5,82,459,45.4,755,41.2,685,31.9,43.6,35,41,24.1,266,59.3,47.7,127,25.6,68,22.2,59,4.5,12,R,1662,33.5,95,2303,-13.1,-19.3,17.2,1.3,,,,,,,,9.7,86.4,2102,-17.5,-36.4,17.6,1.6,44.9,82.3,3082,14,-48.3,16.3,1.1,7.8,94.3,2155,-17.8,-25.2,18.9,1.4,4,88.5,2511,0.8,-28.9,6.3,1.5,,,,,,,,,,,,,,,45.3,94.3,2296,-12.6,-21.1,16.5,2.4,44.9,82.3,3082,14,-48.3,16.3,1.1,9.7,86.4,2102,-17.5,-36.4,17.6,1.6,
Schmidt, Clarke,657376,2023,27,19,88.0,384,349,96,58,24,1,13,87,26,22.7,6.8,.275,.461,.328,0.789,.252,.414,.339,.316,.309,.162,.409,.377,.360,.333,.023,.047,.023,91,15.1,32.2,22,8.2,5.6,25.5,27.3,31.5,1.1,44.2,80.368818333,7.217352121,65.5,13.6,29.3,45,55,94,209,47.2,713,75.8,8.2,22,749,294,1511,86.2,71,523,52.8,799,42.6,644,22.5,48.4,42.3,33.7,24,267,66.1,42.3,113,26.6,71,23.6,63,7.5,20,R,1511,,,,,,,,,,,,,,,1.5,89.9,2104,-8.2,-31.4,8.7,1.3,19.5,83.8,2939,16,-47.1,17.9,1.2,24.4,94.1,2541,-10.2,-23.8,12.8,1.4,25.2,91.4,2743,3.5,-25.2,8.3,1.5,,,,,,,,,,,,,,,49.6,92.7,2644,-3.3,-24.5,10.5,2.1,49,85.2,2950,12.1,-38.3,13.6,1.8,1.5,89.9,2104,-8.2,-31.4,8.7,1.3,
Anderson, Tyler,542881,2023,33,16,84.0,376,327,91,54,25,2,10,68,37,18.1,9.8,.278,.459,.350,0.809,.264,.411,.349,.335,.343,.147,.385,.366,.342,.331,.014,.048,.014,87.2,20.4,35.1,17,6.3,6.7,28.7,32.8,19.8,4.9,31.7,76.414402519,5.023104138,72.7,19.4,29.8,42.9,56.7,100,233,53.7,782,82,6.1,475,965,15,1455,80,95,489,46.3,673,43.3,630,27,49.6,38.4,34.7,26.9,268,60.6,31,83,35.1,94,25.7,69,8.2,22,L,1455,35.4,89.9,2222,5.6,-15.1,19.9,1.5,0.8,77.5,2459,-3.6,-45.9,7.3,1.9,32.6,79.8,1878,13.4,-31.2,18,1.6,0.3,76.6,2388,-13.2,-45,13.9,1.4,6.4,88.1,2226,18.6,-29.4,19.8,1.4,24.5,84.9,2467,-3,-26.7,11.8,2,,,,,,,,,,,,,,,66.3,87.8,2313,3.7,-20.7,16.9,3.1,1,77.3,2440,-6.1,-45.6,9,1.9,32.6,79.8,1878,13.4,-31.2,18,1.6,
Kikuchi, Yusei,579328,2023,32,18,93.1,392,362,93,57,13,1,22,96,27,24.5,6.9,.257,.481,.310,0.791,.247,.478,.339,.334,.301,.231,.424,.417,.350,.336,.010,.003,.005,90.8,14.8,36.9,29,10.8,7.1,24.3,26.1,29.1,2.6,44,81.313724511,6.545153585,68.1,19.8,28.9,51.4,48.6,113,220,47.8,761,83.8,8.5,226,697,668,1592,80,112,566,52.2,831,43.7,696,28.6,49.4,37.7,34.7,27.6,268,59.9,37.3,100,29.5,79,23.5,63,9.7,26,L,1591,43.8,95.3,2362,9.9,-13.3,19.8,1,25.6,89,2424,-2,-30.7,5.4,1.7,14.2,88.8,1725,9.2,-27.2,12.1,1.5,16.4,83.5,2512,-5.8,-41.7,7.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,95.3,2362,9.9,-13.3,19.8,1,42,86.9,2458,-3.5,-35,6.3,3.6,14.2,88.8,1725,9.2,-27.2,12.1,1.5,
Ashcraft, Graham,668933,2023,25,16,81.2,373,328,95,64,15,3,13,61,35,16.4,9.4,.290,.473,.367,0.840,.288,.446,.364,.360,.367,.158,.395,.390,.353,.354,.002,.027,.004,89,7.5,32.6,19,7,5.9,28.1,17.8,35.6,5.6,42.2,77.179061567,6.621033246,66.7,14.3,27.8,42.8,56.2,83,194,50.1,697,75,7.8,0,859,531,1391,85.3,66,462,49.9,693,43.7,607,22.7,47.2,33.3,40.7,25.9,270,57.1,48.5,131,21.5,58,24.8,67,5.2,14,R,1390,,,,,,,,38.2,88.1,2852,13.5,-36,13.8,1.7,,,,,,,,,,,,,,,6.4,96.6,2354,-8,-22,11.3,1.5,55.4,96.1,2467,0.6,-22.5,7.8,1.5,,,,,,,,,,,,,,,61.8,96.2,2456,-0.3,-22.4,8.2,1.5,38.2,88.1,2852,13.5,-36,13.8,1.7,,,,,,,,
